company_id,type,rule_id,text,confidence_pct
ABB,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,70
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,86
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,90
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
ABB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,74
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,84
ADANIENSOL,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,70
ADANIENSOL,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,67
ADANIENSOL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
ADANIENSOL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82
ADANIENSOL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
ADANIENSOL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,69
ADANIENSOL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72
ADANIENSOL,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78
ADANIENT,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82
ADANIENT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98
ADANIENT,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,98
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.6 is elevated for a non-financial company and warrants monitoring,98
ADANIGREEN,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,78
ADANIGREEN,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,67
ADANIGREEN,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
ADANIGREEN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,84
ADANIGREEN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,98
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
ADANIGREEN,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78
ADANIPORTS,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,78
ADANIPORTS,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,67
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
ADANIPORTS,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,69
ADANIPORTS,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66
ADANIPOWER,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
ADANIPOWER,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,69
ADANIPOWER,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,68
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,98
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,87
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,98
ADANIPOWER,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ADANIPOWER,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,74
AMBUJACEM,con,CON-07,"Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable",72
AMBUJACEM,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,66
AMBUJACEM,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
AMBUJACEM,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,96
AMBUJACEM,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,69
AMBUJACEM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
AMBUJACEM,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,74
APOLLOHOSP,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,66
APOLLOHOSP,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,72
APOLLOHOSP,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,69
APOLLOHOSP,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,74
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,86
APOLLOHOSP,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,94
APOLLOHOSP,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,98
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
APOLLOHOSP,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,79
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,98
ASIANPAINT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,78
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
ASIANPAINT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,92
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86
ASIANPAINT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,92
ATGL,con,CON-13,Dividend yield of 0.51% remains below the 2% income-investor threshold,75
ATGL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,67
ATGL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86
ATGL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
ATGL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,79
ATGL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91
ATGL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84
AXISBANK,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,78
AXISBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,67
AXISBANK,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
AXISBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,93
AXISBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,98
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
AXISBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
BAJAJ-AUTO,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,70
BAJAJ-AUTO,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,71
BAJAJ-AUTO,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,68
BAJAJ-AUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,86
BAJAJ-AUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BAJAJ-AUTO,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,98
BAJAJ-AUTO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,78
BAJAJFINSV,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,71
BAJAJFINSV,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,98
BAJAJFINSV,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BAJAJFINSV,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJAJFINSV,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84
BAJAJHLDNG,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,78
BAJAJHLDNG,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,92
BAJAJHLDNG,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,67
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,98
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BAJAJHLDNG,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,98
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
BAJAJHLDNG,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77
BAJAJHLDNG,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,92
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,98
BAJFINANCE,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,98
BAJFINANCE,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,78
BAJFINANCE,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90
BAJFINANCE,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98
BAJFINANCE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
BAJFINANCE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,81
BAJFINANCE,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87
BAJFINANCE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BAJFINANCE,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95
BAJFINANCE,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,88
BANKBARODA,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,98
BANKBARODA,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,70
BANKBARODA,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,93
BANKBARODA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98
BANKBARODA,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,98
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,98
BANKBARODA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
BEL,con,CON-13,Dividend yield of 0.76% remains below the 2% income-investor threshold,73
BEL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,98
BEL,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,66
BEL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BEL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
BEL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89
BHARTIARTL,con,CON-01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,82
BHARTIARTL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75
BHARTIARTL,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,78
BHARTIARTL,con,CON-07,"Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable",78
